,Player,Age,Pos,G,Tgt/G,Rec/G,Rec Yds/G,Yds/Rec,Rec TD/G,Rec 1D/G,Rec Lng,Ctch%,Yds/Tgt,Att/G,Rush Yds/G,Rush TD,Rush 1D,Rush Lng,Yds/Att,Touch/G,Yds/Touch,Scrim Yds/G,RRTD/G,Fmb/G,hyper_link
447,Chris Hogan,34,,5.0,1.6,0.8,8.2,10.3,0.2,0.4,16,0.5,5.1,,,,0,,,0.8,10.25,8.2,0.2,0.0,https://www.pro-football-reference.com/players/H/HogaCh00.htm
448,Trent Taylor,27,,4.0,0.75,0.5,10.25,20.5,0.0,0.5,26,0.667,13.7,,,,0,,,0.5,20.5,10.25,0.0,0.0,https://www.pro-football-reference.com/players/T/TaylTr02.htm
449,Chris Herndon,25,te,16.0,0.4375,0.25,2.5,10.0,0.0625,0.25,17,0.5710000000000001,5.7,,,,0,,,0.25,10.0,2.5,0.0625,0.0,https://www.pro-football-reference.com/players/H/HernCh00.htm
450,Gunner Olszewski,25,,16.0,0.1875,0.125,1.9375,15.5,0.0,0.125,22,0.667,10.3,0.0625,0.5625,0,0,9,9.0,0.1875,13.333333,2.5,0.0,0.1875,https://www.pro-football-reference.com/players/O/OlszGu00.htm
451,Jason Cabinda,25,fb,14.0,0.5,0.2857143,1.1428572,4.0,0.071428575,0.14285715,6,0.5710000000000001,2.3,0.21428572,1.6428572,0,2,21,7.666667,0.5,5.571429,2.7857144,0.071428575,0.0,https://www.pro-football-reference.com/players/C/CabiJa00.htm
452,Greg Dortch,23,wr,5.0,0.6,0.6,3.0,5.0,0.0,0.0,10,1.0,5.0,0.2,4.8,0,1,24,24.0,0.8,9.75,7.8,0.0,0.0,https://www.pro-football-reference.com/players/D/DortGr01.htm
453,Garrett Griffin,27,te,13.0,0.30769232,0.30769232,3.0,9.8,0.0,0.15384616,14,1.0,9.8,,,,0,,,0.30769232,9.75,3.0,0.0,0.07692308,https://www.pro-football-reference.com/players/G/GrifGa00.htm
454,Auden Tate,24,,7.0,0.5714286,0.42857143,5.571429,13.0,0.14285715,0.42857143,18,0.75,9.8,,,,0,,,0.42857143,13.0,5.571429,0.14285715,0.0,https://www.pro-football-reference.com/players/T/TateAu00.htm
455,Curtis Samuel,25,wr,5.0,1.8,1.2,5.4,4.5,0.0,0.8,10,0.667,3.0,0.8,2.2,0,0,8,2.75,2.0,3.8,7.6,0.0,0.0,https://www.pro-football-reference.com/players/S/SamuCu00.htm
456,Willie Snead,29,,9.0,0.8888889,0.44444445,4.2222223,9.5,0.0,0.33333334,15,0.5,4.8,,,,0,,,0.44444445,9.5,4.2222223,0.0,0.0,https://www.pro-football-reference.com/players/S/SneaWi00.htm
457,Kevin White,29,wr,6.0,0.8333333,0.16666667,6.3333335,38.0,0.0,0.16666667,38,0.2,7.6,,,,0,,,0.16666667,38.0,6.3333335,0.0,0.0,https://www.pro-football-reference.com/players/W/WhitKe00.htm
458,Kendall Blanton,26,te,11.0,0.6363636,0.36363637,3.3636363,9.3,0.0,0.18181819,23,0.5710000000000001,5.3,,,,0,,,0.36363637,9.249999,3.3636363,0.0,0.09090909,https://www.pro-football-reference.com/players/B/BlanKe01.htm
459,Colt McCoy,35,qb,8.0,0.0,0.0,0.0,,0.0,0.0,0,0.0,,2.75,4.625,0,6,11,1.6818181,2.75,1.6818181,4.625,0.0,0.5,https://www.pro-football-reference.com/players/M/McCoCo00.htm
460,JJ Arcega-Whiteside,25,wr,16.0,0.3125,0.125,2.25,18.0,0.0,0.125,23,0.4,7.2,,,,0,,,0.125,18.0,2.25,0.0,0.0,https://www.pro-football-reference.com/players/A/ArceJJ00.htm
461,Pharoh Cooper,26,,8.0,1.375,0.5,4.125,8.3,0.0,0.125,15,0.364,3.0,0.125,0.375,0,0,3,3.0,0.625,7.2,4.5,0.0,0.0,https://www.pro-football-reference.com/players/C/CoopPh00.htm
462,Noah Gray,22,te,16.0,0.625,0.4375,2.25,5.1,0.0625,0.125,8,0.7,3.6,,,,0,,,0.4375,5.142857,2.25,0.0625,0.0,https://www.pro-football-reference.com/players/G/GrayNo00.htm
464,D.J. Montgomery,25,,3.0,2.0,1.0,12.0,12.0,0.0,0.6666667,14,0.5,6.0,,,,0,,,1.0,12.0,12.0,0.0,0.0,https://www.pro-football-reference.com/players/M/MontDJ01.htm
465,Kenny Yeboah,23,,9.0,0.33333334,0.22222222,4.0,18.0,0.0,0.22222222,24,0.667,12.0,,,,0,,,0.22222222,18.0,4.0,0.0,0.0,https://www.pro-football-reference.com/players/Y/YeboKe00.htm
466,Tyler Davis,24,,14.0,0.35714287,0.2857143,2.5,8.8,0.0,0.071428575,22,0.8,7.0,,,,0,,,0.2857143,8.75,2.5,0.0,0.0,https://www.pro-football-reference.com/players/D/DaviTy02.htm
467,Trevon Wesco,26,te,12.0,0.41666666,0.25,2.9166667,11.7,0.0,0.16666667,19,0.6,7.0,,,,0,,,0.25,11.666667,2.9166667,0.0,0.0,https://www.pro-football-reference.com/players/W/WescTr00.htm
468,Dominique Dafney,24,te,10.0,0.4,0.2,3.4,17.0,0.0,0.2,26,0.5,8.5,,,,0,,,0.2,17.0,3.4,0.0,0.0,https://www.pro-football-reference.com/players/D/DafnDo00.htm
